id;organisation_id;code;designation;reference;validity;remarque
1;3;CREDR002;REDRESSEUR FREIN MOTEUR SCHAD;;1;
2;3;CJOIN0011;JOINT RECTANGULAIRE BLANC COUVERCLE MARMITE MAURER;13612 BAUR;1;
3;3;CINTE0030;INTERRUPTEUR SECURITE TRANCHEUR BIRO ASPICS;BNS260-11Z 101188408;1;
4;3;CAIMA0009;AIMANT TRANCHEUR BIRO ASPICS/POLYCLIP PDCA600;BPS260-1 101184395;1;
5;3;CCENT0017;CENTRALE SECURITE TRANCHEUR BIRO ASPICS;101128796;1;
6;3;CAIMA0021;AIMANT CAPTEUR SECURITE ALLEN BRADLEY INJECTEUSE STALE IS600-102;ALLEN BRADLEY 440N-Z18SST INOX;1;
7;3;CAIMA0022;AIMANT CAPTEUR SECURITE ALLEN BRADLEY INJECTEUSE STALE IS600-102;ALLEN BRADLEY 440N-Z18PT PLASTIQUE;1;
8;3;CCAPT0016;CAPTEUR SECURITE IS600-102;ALLEN BRADLEY 440N-721S16H;1;
9;3;CAXE.0065;ROULEAU ENTRAINEMENT PAPIER ESPERA;21002;1;
10;3;CCART0073;CARTE ESPERA CPU MOTEUR MOSES2;345081;1;
11;3;CDOIG0006;DOIGT PRESSION ESPERA TETE ESD234;500037;1;
12;3;CVENT0013;VENTILATEUR ESPERA MICRONEL;D606M-024KA-3;1;
13;3;CROUL0229;ROULEMENT POUR PIVOT TORSIONNEUR HANDTMANN PVLH;LR5001 2RS INA;1;
14;3;CPIGN0049;MODULAIRE INJECTEUSE STALE;M12,5 2440 Q6 CFC;1;
15;3;CCAPT0017;CAPTEUR PRESSION SAUMURE IS600;WIKA S-20 part 14071141;1;
16;3;CDIST0028;DISTRIBUTEUR SMC INJECTEUSE STALE IS600/1S/125 N°IS600-102;SV2100-5FU;1;
17;3;CCLIP0001;CLIP PORTE INJECTEUSE STALE IS600;133906;1;
18;3;CTORI0139;JOINT TORIQUE INJECTEUSE STALE;86X2;1;
19;3;CTORI0140;JOINT TORIQUE STALE;0010X0001 VITON FPM70;1;
20;3;CAXE.0020;AXE ENFILEUR SCHAFFNER;3020024;1;
21;3;CCART0087;CARTE INTERFACE CELLULE ESPERA;345040;1;
22;3;CCOUR0116;COURROIE PESEUSE ESPERA;207S3M15 EFRAPO ;1;
23;3;CCOUR0124;COURROIE REENROULEUR ES5000 ESPERA;710914;1;
24;3;CFEUT0003;FEUTRE ESPERA DEPOSE AUTO;520418;1;
25;3;CNAPP0001;NAPPE TETE THERMIQUE ESPERA;MOYEU 2012/50 RC;1;
26;3;CTETE0040;TETE IMPRESSION ESPERA AUTO;566084/01501008;1;
27;3;CTAPI0044;ESPERA BLEU CLAIRE ADHERANT ;712402 ESPERA;1;
28;3;CTETE0041;TETE IMPRESSION ESPERA MANUEL;560385/01501003;1;
29;3;CFLAS0008;FLASQUE INOX REENROULEUR ES7000 ESPERA;466077;1;
30;3;CTAPI0043;ESPERA BLEU FONCE GLISSANT ;712402 ESPERA;1;
31;3;CTAPI0057;TAPIS ESPERA DESSOUS ETIQUETTE;712411 ESPERA;1;
32;3;CAXE.0072;AXE GRAPHITE BAS ESPERA;523464 ESPERA;1;
33;3;CAXE.0064;ROULEAU ENTRAINEMENT ETIQUETTE SUPERIEURE AXE GRAPHITE HAUT ESPERA;523420 ESPERA;1;
34;3;CGALE0045;GALET ENTRAINEMENT PAPIER ESPERA;520599;1;
35;3;CART 0090;CARTE;345060;1;
36;3;CAXE.0071;AXE ROULEAU RETOUR BANDE CONVOYEUR ESPERA;550360;1;
37;3;CPOIG0009;POIGNEE BOITE COUTEAUX CUTTER;237441 RADIOSPARES;1;
38;3;CAXE.0070;AXE TAPIS ESPERA;550359;1;
39;3;CAXE.0073;AXE CONVOYEUR AVEC VERIN SORTIE TIRO ESPERA;550374;1;
40;3;CMOTE0053;MOTEUR ESPERA COMPLET TAPIS ES 5000;550938;1;
41;3;CTAPI0050;TAPIS EJECTION ESPERA;712417;1;
42;3;CCELL0123;CELLULE PRESENCE ETIQUETTE EXTERIEUR REP10 ESPERA  TYPE ES5910 N° SERIE 2580101079 ESD234;21007;1;
43;3;CCOUR0128;COURROIE T2.5/380 LARGEUR 8 MM ENTRAINEMENT ETIQUETTES ESD524 ESPERA;710345;1;
44;3;CCART0077;CARTE ESPERA CAN BUS MII ESG154;345060;1;
45;3;CCART0078;CARTE ESPERA ALIMENTATION GENERALE;345241;1;
46;3;CCART0085;CARTE CELLULE + LIAISON CERAMIQUE ESPERA BAS/DESSOUS;560304;1;
47;3;CCART0086;CARTE BALANCE ESPERA;345100;1;
48;3;CCELL0138;CELLULE IMPRIMANTES ESPERA HAUT/DESSUS;560206;1;
